"","inner_number","Item","Itemtype","cloze_clean","n","total","cloze_probability"
"303",50,"Steve verschüttete Kaffee all over his white","code_switching","shirt",13,18,0.722222222222222
"304",51,"Er entschied sich, im Iran zu reisen, obwohl er wusste, it could be","code_switching","danger",15,17,0.882352941176471
"305",51,"Er entschied sich, im Iran zu reisen, obwohl er wusste, it could be","code_switching","difficult",1,17,0.0588235294117647
"306",51,"Er entschied sich, im Iran zu reisen, obwohl er wusste, it could be","code_switching","lonely",1,17,0.0588235294117647
"307",51,"He decided to travel to Iran even though he knew it could be","English","danger",16,18,0.888888888888889
"308",51,"He decided to travel to Iran even though he knew it could be","English","hot",1,18,0.0555555555555556
"309",51,"He decided to travel to Iran even though he knew it could be","English","risky",1,18,0.0555555555555556
"310",52,"Cold damp weather makes her joints ache so she took some aspirin for the","English","cabinet",1,17,0.0588235294117647
"311",52,"Cold damp weather makes her joints ache so she took some aspirin for the","English","day",1,17,0.0588235294117647
"312",52,"Cold damp weather makes her joints ache so she took some aspirin for the","English","headache",1,17,0.0588235294117647
"313",52,"Cold damp weather makes her joints ache so she took some aspirin for the","English","healing",1,17,0.0588235294117647
"314",52,"Cold damp weather makes her joints ache so she took some aspirin for the","English","pain",13,17,0.764705882352941
"315",52,"Kalte, feuchte Witterung lässt ihre Gelenke schmerzen, deshalb nahm sie some aspirin for the","code_switching","head",1,18,0.0555555555555556
"316",52,"Kalte, feuchte Witterung lässt ihre Gelenke schmerzen, deshalb nahm sie some aspirin for the","code_switching","journey",1,18,0.0555555555555556
"317",52,"Kalte, feuchte Witterung lässt ihre Gelenke schmerzen, deshalb nahm sie some aspirin for the","code_switching","pain",16,18,0.888888888888889
"318",53,"Before she arrived, he opened a bottle of wine and put on some soft","English","clothes",1,18,0.0555555555555556
"319",53,"Before she arrived, he opened a bottle of wine and put on some soft","English","jazz",3,18,0.166666666666667
"320",53,"Before she arrived, he opened a bottle of wine and put on some soft","English","music",13,18,0.722222222222222
"321",53,"Before she arrived, he opened a bottle of wine and put on some soft","English","socks",1,18,0.0555555555555556
"322",53,"Bevor sie ankam, öffnete er eine Flasche Wein and put on some soft","code_switching","clothes",1,17,0.0588235294117647
"323",53,"Bevor sie ankam, öffnete er eine Flasche Wein and put on some soft","code_switching","jazz",1,17,0.0588235294117647
"324",53,"Bevor sie ankam, öffnete er eine Flasche Wein and put on some soft","code_switching","lotion",1,17,0.0588235294117647
"325",53,"Bevor sie ankam, öffnete er eine Flasche Wein and put on some soft","code_switching","music",12,17,0.705882352941177
"326",53,"Bevor sie ankam, öffnete er eine Flasche Wein and put on some soft","code_switching","pillow",1,17,0.0588235294117647
"327",53,"Bevor sie ankam, öffnete er eine Flasche Wein and put on some soft","code_switching","slippers",1,17,0.0588235294117647
"328",54,"Das Schiff mit den weißen Segeln verschwand into the thick","code_switching","clouds",2,18,0.111111111111111
"329",54,"Das Schiff mit den weißen Segeln verschwand into the thick","code_switching","dark",1,18,0.0555555555555556
"330",54,"Das Schiff mit den weißen Segeln verschwand into the thick","code_switching","fog",12,18,0.666666666666667
"331",54,"Das Schiff mit den weißen Segeln verschwand into the thick","code_switching","mist",2,18,0.111111111111111
"332",54,"Das Schiff mit den weißen Segeln verschwand into the thick","code_switching","ocean",1,18,0.0555555555555556
"333",54,"The ship with the white sails disappeared into the thick","English","cloud",1,17,0.0588235294117647
"334",54,"The ship with the white sails disappeared into the thick","English","dark",1,17,0.0588235294117647
"335",54,"The ship with the white sails disappeared into the thick","English","fog",13,17,0.764705882352941
"336",54,"The ship with the white sails disappeared into the thick","English","mist",2,17,0.117647058823529
"337",55,"Ron bought a board for the window that was too long and then he bought one that was way too","English","big",1,18,0.0555555555555556
"338",55,"Ron bought a board for the window that was too long and then he bought one that was way too","English","flashy",1,18,0.0555555555555556
"339",55,"Ron bought a board for the window that was too long and then he bought one that was way too","English","short",14,18,0.777777777777778
"340",55,"Ron bought a board for the window that was too long and then he bought one that was way too","English","small",1,18,0.0555555555555556
"341",55,"Ron bought a board for the window that was too long and then he bought one that was way too","English","thick",1,18,0.0555555555555556
"342",55,"Ron kaufte ein Brett für das Fenster, das zu lang war, und dann kaufte er eins, that was way too","code_switching","heavy",1,17,0.0588235294117647
"343",55,"Ron kaufte ein Brett für das Fenster, das zu lang war, und dann kaufte er eins, that was way too","code_switching","short",13,17,0.764705882352941
"344",55,"Ron kaufte ein Brett für das Fenster, das zu lang war, und dann kaufte er eins, that was way too","code_switching","small",3,17,0.176470588235294
"345",56,"Als das Wetter wärmer wurde, begann Mark, seine leichtere Jacke zu tragen, und zwar nicht his heavy winter","code_switching","coat",9,18,0.5
"346",56,"Als das Wetter wärmer wurde, begann Mark, seine leichtere Jacke zu tragen, und zwar nicht his heavy winter","code_switching","jacket",8,18,0.444444444444444
"347",56,"Als das Wetter wärmer wurde, begann Mark, seine leichtere Jacke zu tragen, und zwar nicht his heavy winter","code_switching","weather",1,18,0.0555555555555556
"348",56,"As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter","English","coat",10,17,0.588235294117647
"349",56,"As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter","English","jacket",7,17,0.411764705882353
"350",57,"Er kaufte ihr eine Perlenkette for her","code_switching","birthday",11,17,0.647058823529412
"351",57,"Er kaufte ihr eine Perlenkette for her","code_switching","graduation",2,17,0.117647058823529
"352",57,"Er kaufte ihr eine Perlenkette for her","code_switching","neck",2,17,0.117647058823529
"353",57,"Er kaufte ihr eine Perlenkette for her","code_switching","sister",1,17,0.0588235294117647
"354",57,"Er kaufte ihr eine Perlenkette for her","code_switching","wedding",1,17,0.0588235294117647
"355",57,"He bought her a pearl necklace for her","English","anniversary",1,18,0.0555555555555556
"356",57,"He bought her a pearl necklace for her","English","birthday",13,18,0.722222222222222
"357",57,"He bought her a pearl necklace for her","English","bracelet",1,18,0.0555555555555556
"358",57,"He bought her a pearl necklace for her","English","mother",1,18,0.0555555555555556
"359",57,"He bought her a pearl necklace for her","English","wedding",2,18,0.111111111111111
"360",58,"Der junge Mann im Park must keep his pet on a","code_switching","leash",18,18,1
"361",58,"The young man in the park must keep his pet on a","English","leash",15,17,0.882352941176471
"362",58,"The young man in the park must keep his pet on a","English","line",2,17,0.117647058823529
"363",59,"Rachel liebt den Geruch von Tabak, but she can't stand all the","code_switching","dirty",1,17,0.0588235294117647
"364",59,"Rachel liebt den Geruch von Tabak, but she can't stand all the","code_switching","smoke",15,17,0.882352941176471
"365",59,"Rachel liebt den Geruch von Tabak, but she can't stand all the","code_switching","smokers",1,17,0.0588235294117647
"366",59,"Rachel loves the smell of tobacco but she can't stand all the","English","cigarettes",1,18,0.0555555555555556
"367",59,"Rachel loves the smell of tobacco but she can't stand all the","English","fumes",1,18,0.0555555555555556
"368",59,"Rachel loves the smell of tobacco but she can't stand all the","English","gossip",1,18,0.0555555555555556
"369",59,"Rachel loves the smell of tobacco but she can't stand all the","English","perfumes",1,18,0.0555555555555556
"370",59,"Rachel loves the smell of tobacco but she can't stand all the","English","sauce",1,18,0.0555555555555556
"371",59,"Rachel loves the smell of tobacco but she can't stand all the","English","smoke",12,18,0.666666666666667
"372",59,"Rachel loves the smell of tobacco but she can't stand all the","English","smokers",1,18,0.0555555555555556
"373",60,"Er hatte gerade genug Zeit, einen Kuchen zu kaufen und sich umzuziehen before the guests","code_switching","arrived",15,18,0.833333333333333
"374",60,"Er hatte gerade genug Zeit, einen Kuchen zu kaufen und sich umzuziehen before the guests","code_switching","came",3,18,0.166666666666667
"375",60,"He had just enough time to buy a cake from the store and change his clothes before the guests","English","arrived",16,17,0.941176470588235
"376",60,"He had just enough time to buy a cake from the store and change his clothes before the guests","English","came",1,17,0.0588235294117647
"377",61,"Das Eichhörnchen versteckte ein paar Nüsse in the big","code_switching","cheeks",1,17,0.0588235294117647
"378",61,"Das Eichhörnchen versteckte ein paar Nüsse in the big","code_switching","forest",1,17,0.0588235294117647
"379",61,"Das Eichhörnchen versteckte ein paar Nüsse in the big","code_switching","garden",1,17,0.0588235294117647
"380",61,"Das Eichhörnchen versteckte ein paar Nüsse in the big","code_switching","hole",1,17,0.0588235294117647
"381",61,"Das Eichhörnchen versteckte ein paar Nüsse in the big","code_switching","nest",1,17,0.0588235294117647
"382",61,"Das Eichhörnchen versteckte ein paar Nüsse in the big","code_switching","pouches",1,17,0.0588235294117647
"383",61,"Das Eichhörnchen versteckte ein paar Nüsse in the big","code_switching","tree",10,17,0.588235294117647
"384",61,"Das Eichhörnchen versteckte ein paar Nüsse in the big","code_switching","trunk",1,17,0.0588235294117647
"385",61,"The squirrel stored some nuts in the big","English","cavern",1,18,0.0555555555555556
"386",61,"The squirrel stored some nuts in the big","English","hole",3,18,0.166666666666667
"387",61,"The squirrel stored some nuts in the big","English","mouth",1,18,0.0555555555555556
"388",61,"The squirrel stored some nuts in the big","English","oak",1,18,0.0555555555555556
"389",61,"The squirrel stored some nuts in the big","English","tree",12,18,0.666666666666667
"390",62,"Every morning before school his mother laid out his clothes and packed his","English","backpack",2,17,0.117647058823529
"391",62,"Every morning before school his mother laid out his clothes and packed his","English","bag",7,17,0.411764705882353
"392",62,"Every morning before school his mother laid out his clothes and packed his","English","lunch",7,17,0.411764705882353
"393",62,"Every morning before school his mother laid out his clothes and packed his","English","stuff",1,17,0.0588235294117647
"394",62,"Jeden morgen vor der Schule legte seine Mutter seine Kleidung raus and packed his","code_switching","backpack",2,18,0.111111111111111
"395",62,"Jeden morgen vor der Schule legte seine Mutter seine Kleidung raus and packed his","code_switching","bag",11,18,0.611111111111111
"396",62,"Jeden morgen vor der Schule legte seine Mutter seine Kleidung raus and packed his","code_switching","lunch",4,18,0.222222222222222
"397",62,"Jeden morgen vor der Schule legte seine Mutter seine Kleidung raus and packed his","code_switching","lunchbox",1,18,0.0555555555555556
"398",63,"Er kündigte seinen Job und verließ seine Familie, so he could sail around the","code_switching","globe",1,17,0.0588235294117647
"399",63,"Er kündigte seinen Job und verließ seine Familie, so he could sail around the","code_switching","world",16,17,0.941176470588235
"400",63,"He quit his job and left his family so that he could sail around the","English","globe",1,18,0.0555555555555556
"401",63,"He quit his job and left his family so that he could sail around the","English","pacific",2,18,0.111111111111111
"402",63,"He quit his job and left his family so that he could sail around the","English","world",15,18,0.833333333333333
"403",64,"Berühre auf gar keinen Fall the sticky wet","code_switching","animal",1,18,0.0555555555555556
"404",64,"Berühre auf gar keinen Fall the sticky wet","code_switching","concrete",1,18,0.0555555555555556
"405",64,"Berühre auf gar keinen Fall the sticky wet","code_switching","floors",2,18,0.111111111111111
"406",64,"Berühre auf gar keinen Fall the sticky wet","code_switching","food",1,18,0.0555555555555556
"407",64,"Berühre auf gar keinen Fall the sticky wet","code_switching","glue",1,18,0.0555555555555556
"408",64,"Berühre auf gar keinen Fall the sticky wet","code_switching","goo",1,18,0.0555555555555556
"409",64,"Berühre auf gar keinen Fall the sticky wet","code_switching","grass",1,18,0.0555555555555556
"410",64,"Berühre auf gar keinen Fall the sticky wet","code_switching","gum",1,18,0.0555555555555556
"411",64,"Berühre auf gar keinen Fall the sticky wet","code_switching","paint",1,18,0.0555555555555556
"412",64,"Berühre auf gar keinen Fall the sticky wet","code_switching","puddles",1,18,0.0555555555555556
"413",64,"Berühre auf gar keinen Fall the sticky wet","code_switching","rice",1,18,0.0555555555555556
"414",64,"Berühre auf gar keinen Fall the sticky wet","code_switching","shirt",1,18,0.0555555555555556
"415",64,"Berühre auf gar keinen Fall the sticky wet","code_switching","spider",1,18,0.0555555555555556
"416",64,"Berühre auf gar keinen Fall the sticky wet","code_switching","substance",1,18,0.0555555555555556
"417",64,"Berühre auf gar keinen Fall the sticky wet","code_switching","wall",1,18,0.0555555555555556
"418",64,"Berühre auf gar keinen Fall the sticky wet","code_switching","window",1,18,0.0555555555555556
"419",64,"Berühre auf gar keinen Fall the sticky wet","code_switching","wood",1,18,0.0555555555555556
"420",64,"In any case, don't touch the sticky wet","English","floors",1,17,0.0588235294117647
"421",64,"In any case, don't touch the sticky wet","English","goo",3,17,0.176470588235294
"422",64,"In any case, don't touch the sticky wet","English","ground",2,17,0.117647058823529
"423",64,"In any case, don't touch the sticky wet","English","paint",1,17,0.0588235294117647
"424",64,"In any case, don't touch the sticky wet","English","paste",1,17,0.0588235294117647
"425",64,"In any case, don't touch the sticky wet","English","shirt",1,17,0.0588235294117647
"426",64,"In any case, don't touch the sticky wet","English","sponge",1,17,0.0588235294117647
"427",64,"In any case, don't touch the sticky wet","English","substance",3,17,0.176470588235294
"428",64,"In any case, don't touch the sticky wet","English","surface",4,17,0.235294117647059
"429",65,"Cats loved to be scratched behind the","English","back",1,18,0.0555555555555556
"430",65,"Cats loved to be scratched behind the","English","ears",14,18,0.777777777777778
"431",65,"Cats loved to be scratched behind the","English","head",1,18,0.0555555555555556
"432",65,"Cats loved to be scratched behind the","English","neck",2,18,0.111111111111111
"433",65,"Katzen lieben es, gekrault zu werden behind the","code_switching","back",1,17,0.0588235294117647
"434",65,"Katzen lieben es, gekrault zu werden behind the","code_switching","curtains",1,17,0.0588235294117647
"435",65,"Katzen lieben es, gekrault zu werden behind the","code_switching","ears",14,17,0.823529411764706
"436",65,"Katzen lieben es, gekrault zu werden behind the","code_switching","neck",1,17,0.0588235294117647
"437",66,"Die weiße Möve tauchte ab and caught a","code_switching","fish",17,18,0.944444444444444
"438",66,"Die weiße Möve tauchte ab and caught a","code_switching","mackerel",1,18,0.0555555555555556
"439",66,"The white seagull dove down and caught a","English","fish",16,17,0.941176470588235
"440",66,"The white seagull dove down and caught a","English","mouse",1,17,0.0588235294117647
"441",67,"John fegte den Boden with a long","code_switching","broom",16,17,0.941176470588235
"442",67,"John fegte den Boden with a long","code_switching","brush",1,17,0.0588235294117647
"443",67,"John swept the floor with a long","English","broom",12,18,0.666666666666667
"444",67,"John swept the floor with a long","English","mop",4,18,0.222222222222222
"445",67,"John swept the floor with a long","English","towel",2,18,0.111111111111111
"446",68,"He was cold most of the night and finally got up to get another","English","beer",1,17,0.0588235294117647
"447",68,"He was cold most of the night and finally got up to get another","English","blanket",13,17,0.764705882352941
"448",68,"He was cold most of the night and finally got up to get another","English","drink",1,17,0.0588235294117647
"449",68,"He was cold most of the night and finally got up to get another","English","snack",1,17,0.0588235294117647
"450",68,"He was cold most of the night and finally got up to get another","English","tea",1,17,0.0588235294117647
"451",68,"Ihm war die ganze Nacht kalt, bis er schließlich aufstand to get another","code_switching","blanket",15,18,0.833333333333333
"452",68,"Ihm war die ganze Nacht kalt, bis er schließlich aufstand to get another","code_switching","chocolate",1,18,0.0555555555555556
"453",68,"Ihm war die ganze Nacht kalt, bis er schließlich aufstand to get another","code_switching","coffee",1,18,0.0555555555555556
"454",68,"Ihm war die ganze Nacht kalt, bis er schließlich aufstand to get another","code_switching","icepack",1,18,0.0555555555555556
"455",69,"Anfangs lehnte der Junge es ab, aber eventually he changed his ","code_switching","mind",16,17,0.941176470588235
"456",69,"Anfangs lehnte der Junge es ab, aber eventually he changed his ","code_switching","opinion",1,17,0.0588235294117647
"457",69,"At first the boy refused, but eventually he changed his","English","mind",16,18,0.888888888888889
"458",69,"At first the boy refused, but eventually he changed his","English","mindset",1,18,0.0555555555555556
"459",69,"At first the boy refused, but eventually he changed his","English","trousers",1,18,0.0555555555555556
"460",70,"Rafael möchte den Wald schützen by guarding every","code_switching","animal",2,18,0.111111111111111
"461",70,"Rafael möchte den Wald schützen by guarding every","code_switching","entrance",2,18,0.111111111111111
"462",70,"Rafael möchte den Wald schützen by guarding every","code_switching","inch",1,18,0.0555555555555556
"463",70,"Rafael möchte den Wald schützen by guarding every","code_switching","plant",1,18,0.0555555555555556
"464",70,"Rafael möchte den Wald schützen by guarding every","code_switching","tree",12,18,0.666666666666667
"465",70,"Rafael wants to preserve the forest by guarding every","English","animal",1,17,0.0588235294117647
"466",70,"Rafael wants to preserve the forest by guarding every","English","centimeter",1,17,0.0588235294117647
"467",70,"Rafael wants to preserve the forest by guarding every","English","entrance",1,17,0.0588235294117647
"468",70,"Rafael wants to preserve the forest by guarding every","English","inch",2,17,0.117647058823529
"469",70,"Rafael wants to preserve the forest by guarding every","English","meter",1,17,0.0588235294117647
"470",70,"Rafael wants to preserve the forest by guarding every","English","person",1,17,0.0588235294117647
"471",70,"Rafael wants to preserve the forest by guarding every","English","tree",10,17,0.588235294117647
"472",71,"Es gab bunte Bilder on every single","code_switching","day",1,17,0.0588235294117647
"473",71,"Es gab bunte Bilder on every single","code_switching","floors",1,17,0.0588235294117647
"474",71,"Es gab bunte Bilder on every single","code_switching","page",7,17,0.411764705882353
"475",71,"Es gab bunte Bilder on every single","code_switching","subject",1,17,0.0588235294117647
"476",71,"Es gab bunte Bilder on every single","code_switching","wall",7,17,0.411764705882353
"477",71,"There were colorful pictures on every single","English","bottle",1,18,0.0555555555555556
"478",71,"There were colorful pictures on every single","English","frame",1,18,0.0555555555555556
"479",71,"There were colorful pictures on every single","English","page",3,18,0.166666666666667
"480",71,"There were colorful pictures on every single","English","surface",1,18,0.0555555555555556
"481",71,"There were colorful pictures on every single","English","wall",10,18,0.555555555555556
"482",71,"There were colorful pictures on every single","English","window",2,18,0.111111111111111
"483",72,"At the end of the trip, Pam had no more clothes to","English","use",1,17,0.0588235294117647
"484",72,"At the end of the trip, Pam had no more clothes to","English","wear",16,17,0.941176470588235
"485",72,"Pam hatte am Ende der Reise no more clothes to","code_switching","change",2,18,0.111111111111111
"486",72,"Pam hatte am Ende der Reise no more clothes to","code_switching","spare",1,18,0.0555555555555556
"487",72,"Pam hatte am Ende der Reise no more clothes to","code_switching","wear",15,18,0.833333333333333
"488",73,"Sie züchteten Schweine on their","code_switching","farm",16,17,0.941176470588235
"489",73,"Sie züchteten Schweine on their","code_switching","property",1,17,0.0588235294117647
"490",73,"They raised pigs on their","English","farm",17,18,0.944444444444444
"491",73,"They raised pigs on their","English","home",1,18,0.0555555555555556
"492",74,"Er entschied sich für deutschen Wein because the imported stuff was too","code_switching","bad",1,18,0.0555555555555556
"493",74,"Er entschied sich für deutschen Wein because the imported stuff was too","code_switching","bitter",1,18,0.0555555555555556
"494",74,"Er entschied sich für deutschen Wein because the imported stuff was too","code_switching","bland",1,18,0.0555555555555556
"495",74,"Er entschied sich für deutschen Wein because the imported stuff was too","code_switching","cheap",1,18,0.0555555555555556
"496",74,"Er entschied sich für deutschen Wein because the imported stuff was too","code_switching","expensive",12,18,0.666666666666667
"497",74,"Er entschied sich für deutschen Wein because the imported stuff was too","code_switching","sweet",2,18,0.111111111111111
"498",74,"He settled for German wine because the imported stuff was too","English","bad",1,17,0.0588235294117647
"499",74,"He settled for German wine because the imported stuff was too","English","bland",1,17,0.0588235294117647
"500",74,"He settled for German wine because the imported stuff was too","English","cheap",1,17,0.0588235294117647
"501",74,"He settled for German wine because the imported stuff was too","English","expensive",12,17,0.705882352941177
"502",74,"He settled for German wine because the imported stuff was too","English","pricey",1,17,0.0588235294117647
"503",74,"He settled for German wine because the imported stuff was too","English","sweet",1,17,0.0588235294117647
"504",75,"Simon denkt, dass es ok ist, sich laute Musik anzuhören, even if his door is","code_switching","closed",1,17,0.0588235294117647
"505",75,"Simon denkt, dass es ok ist, sich laute Musik anzuhören, even if his door is","code_switching","open",15,17,0.882352941176471
"506",75,"Simon denkt, dass es ok ist, sich laute Musik anzuhören, even if his door is","code_switching","shut",1,17,0.0588235294117647
"507",75,"Simon thinks it's ok to listen to loud music even if his door is","English","closed",1,18,0.0555555555555556
"508",75,"Simon thinks it's ok to listen to loud music even if his door is","English","open",17,18,0.944444444444444
"509",76,"His skin was bright red from spending time at the","English","beach",11,17,0.647058823529412
"510",76,"His skin was bright red from spending time at the","English","dispensary",1,17,0.0588235294117647
"511",76,"His skin was bright red from spending time at the","English","lake",1,17,0.0588235294117647
"512",76,"His skin was bright red from spending time at the","English","pool",1,17,0.0588235294117647
"513",76,"His skin was bright red from spending time at the","English","solarium",1,17,0.0588235294117647
"514",76,"His skin was bright red from spending time at the","English","sun",1,17,0.0588235294117647
"515",76,"His skin was bright red from spending time at the","English","sunstudio",1,17,0.0588235294117647
"516",76,"Seine Haut war knallrot from spending time at the","code_switching","beach",15,18,0.833333333333333
"517",76,"Seine Haut war knallrot from spending time at the","code_switching","school",1,18,0.0555555555555556
"518",76,"Seine Haut war knallrot from spending time at the","code_switching","solarium",2,18,0.111111111111111
"519",77,"Phil nutzte die Pipette und tat einige drops in his","code_switching","coffee",1,17,0.0588235294117647
"520",77,"Phil nutzte die Pipette und tat einige drops in his","code_switching","cup",1,17,0.0588235294117647
"521",77,"Phil nutzte die Pipette und tat einige drops in his","code_switching","dish",1,17,0.0588235294117647
"522",77,"Phil nutzte die Pipette und tat einige drops in his","code_switching","drink",1,17,0.0588235294117647
"523",77,"Phil nutzte die Pipette und tat einige drops in his","code_switching","eyes",8,17,0.470588235294118
"524",77,"Phil nutzte die Pipette und tat einige drops in his","code_switching","flask",1,17,0.0588235294117647
"525",77,"Phil nutzte die Pipette und tat einige drops in his","code_switching","glass",3,17,0.176470588235294
"526",77,"Phil nutzte die Pipette und tat einige drops in his","code_switching","sample",1,17,0.0588235294117647
"527",77,"Phil used the dropper to put some drops in his","English","drink",2,18,0.111111111111111
"528",77,"Phil used the dropper to put some drops in his","English","ears",1,18,0.0555555555555556
"529",77,"Phil used the dropper to put some drops in his","English","eyes",10,18,0.555555555555556
"530",77,"Phil used the dropper to put some drops in his","English","glass",1,18,0.0555555555555556
"531",77,"Phil used the dropper to put some drops in his","English","mouth",1,18,0.0555555555555556
"532",77,"Phil used the dropper to put some drops in his","English","pants",1,18,0.0555555555555556
"533",77,"Phil used the dropper to put some drops in his","English","plate",1,18,0.0555555555555556
"534",77,"Phil used the dropper to put some drops in his","English","water",1,18,0.0555555555555556
"535",78,"Der Oberst wünschte sich der Feldwebel würde seine Befehle nicht als höfliche Bitte wahrnehmen, but as a direct","code_switching","command",3,18,0.166666666666667
"536",78,"Der Oberst wünschte sich der Feldwebel würde seine Befehle nicht als höfliche Bitte wahrnehmen, but as a direct","code_switching","order",13,18,0.722222222222222
"537",78,"Der Oberst wünschte sich der Feldwebel würde seine Befehle nicht als höfliche Bitte wahrnehmen, but as a direct","code_switching","request",1,18,0.0555555555555556
"538",78,"Der Oberst wünschte sich der Feldwebel würde seine Befehle nicht als höfliche Bitte wahrnehmen, but as a direct","code_switching","threat",1,18,0.0555555555555556
"539",78,"The colonel wished the sergeant would treat his command not as a polite request but as a direct","English","command",4,17,0.235294117647059
"540",78,"The colonel wished the sergeant would treat his command not as a polite request but as a direct","English","necessity",1,17,0.0588235294117647
"541",78,"The colonel wished the sergeant would treat his command not as a polite request but as a direct","English","order",12,17,0.705882352941177
"542",79,"Sharon dried the bowls with a big","English","fan",1,18,0.0555555555555556
"543",79,"Sharon dried the bowls with a big","English","hairdryer",1,18,0.0555555555555556
"544",79,"Sharon dried the bowls with a big","English","spoon",1,18,0.0555555555555556
"545",79,"Sharon dried the bowls with a big","English","tablecloth",1,18,0.0555555555555556
"546",79,"Sharon dried the bowls with a big","English","towel",14,18,0.777777777777778
"547",79,"Sharon trocknete die Schüsseln with a big","code_switching","cloth",1,17,0.0588235294117647
"548",79,"Sharon trocknete die Schüsseln with a big","code_switching","rag",1,17,0.0588235294117647
"549",79,"Sharon trocknete die Schüsseln with a big","code_switching","rug",1,17,0.0588235294117647
"550",79,"Sharon trocknete die Schüsseln with a big","code_switching","towel",14,17,0.823529411764706
"551",80,"Misch die Karten thoroughly before you","code_switching","deal",6,18,0.333333333333333
"552",80,"Misch die Karten thoroughly before you","code_switching","distribute",1,18,0.0555555555555556
"553",80,"Misch die Karten thoroughly before you","code_switching","handout",1,18,0.0555555555555556
"554",80,"Misch die Karten thoroughly before you","code_switching","play",7,18,0.388888888888889
"555",80,"Misch die Karten thoroughly before you","code_switching","start",3,18,0.166666666666667
"556",80,"Shuffle the cards thoroughly before you","English","deal",4,17,0.235294117647059
"557",80,"Shuffle the cards thoroughly before you","English","distribute",1,17,0.0588235294117647
"558",80,"Shuffle the cards thoroughly before you","English","draw",1,17,0.0588235294117647
"559",80,"Shuffle the cards thoroughly before you","English","give",2,17,0.117647058823529
"560",80,"Shuffle the cards thoroughly before you","English","handthemout",1,17,0.0588235294117647
"561",80,"Shuffle the cards thoroughly before you","English","play",6,17,0.352941176470588
"562",80,"Shuffle the cards thoroughly before you","English","start",2,17,0.117647058823529
"563",81,"Esther dachte nicht, dass das Schwert gefährlich war, because it wasn't very","code_switching","big",1,17,0.0588235294117647
"564",81,"Esther dachte nicht, dass das Schwert gefährlich war, because it wasn't very","code_switching","heavy",2,17,0.117647058823529
"565",81,"Esther dachte nicht, dass das Schwert gefährlich war, because it wasn't very","code_switching","long",3,17,0.176470588235294
"566",81,"Esther dachte nicht, dass das Schwert gefährlich war, because it wasn't very","code_switching","sharp",11,17,0.647058823529412
"567",81,"Esther didn't think the sword was dangerous because it wasn't very","English","heavy",1,18,0.0555555555555556
"568",81,"Esther didn't think the sword was dangerous because it wasn't very","English","long",1,18,0.0555555555555556
"569",81,"Esther didn't think the sword was dangerous because it wasn't very","English","sharp",16,18,0.888888888888889
"570",82,"Das Kleinkind schrie ununterbrochen and upset her","code_switching","mother",12,18,0.666666666666667
"571",82,"Das Kleinkind schrie ununterbrochen and upset her","code_switching","parents",4,18,0.222222222222222
"572",82,"Das Kleinkind schrie ununterbrochen and upset her","code_switching","sister",1,18,0.0555555555555556
"573",82,"Das Kleinkind schrie ununterbrochen and upset her","code_switching","stomach",1,18,0.0555555555555556
"574",82,"The child cried continuously and upset her","English","again",1,17,0.0588235294117647
"575",82,"The child cried continuously and upset her","English","brother",1,17,0.0588235294117647
"576",82,"The child cried continuously and upset her","English","mother",10,17,0.588235294117647
"577",82,"The child cried continuously and upset her","English","parents",4,17,0.235294117647059
"578",82,"The child cried continuously and upset her","English","sister",1,17,0.0588235294117647
"579",83,"After the rents went up again, the tenants decided to take their landlord to ","English","court",17,18,0.944444444444444
"580",83,"After the rents went up again, the tenants decided to take their landlord to ","English","speech",1,18,0.0555555555555556
"581",83,"Die Mieter entschieden sich nach weiter steigenden Mietpreisen to take their landlord to","code_switching","court",16,17,0.941176470588235
"582",83,"Die Mieter entschieden sich nach weiter steigenden Mietpreisen to take their landlord to","code_switching","judge",1,17,0.0588235294117647
"583",84,"Als George nicht in sein Auto kam, kniete er sich hin und suchte under the bumper for the spare","code_switching","key",16,18,0.888888888888889
"584",84,"Als George nicht in sein Auto kam, kniete er sich hin und suchte under the bumper for the spare","code_switching","screw",1,18,0.0555555555555556
"585",84,"Als George nicht in sein Auto kam, kniete er sich hin und suchte under the bumper for the spare","code_switching","tire",1,18,0.0555555555555556
"586",84,"When George couldn't get into his car, he got down on one knee and reached under the bumper for the spare","English","key",14,17,0.823529411764706
"587",84,"When George couldn't get into his car, he got down on one knee and reached under the bumper for the spare","English","tire",2,17,0.117647058823529
"588",84,"When George couldn't get into his car, he got down on one knee and reached under the bumper for the spare","English","wheel",1,17,0.0588235294117647
"589",85,"Die Bauarbeiterin hatte sehr muskulöse Arme bekommen from unloading cement from the","code_switching","car",1,17,0.0588235294117647
"590",85,"Die Bauarbeiterin hatte sehr muskulöse Arme bekommen from unloading cement from the","code_switching","ground",1,17,0.0588235294117647
"591",85,"Die Bauarbeiterin hatte sehr muskulöse Arme bekommen from unloading cement from the","code_switching","truck",15,17,0.882352941176471
"592",85,"The construction worker had developed very powerful arms from unloading cement from the","English","car",2,18,0.111111111111111
"593",85,"The construction worker had developed very powerful arms from unloading cement from the","English","lorry",1,18,0.0555555555555556
"594",85,"The construction worker had developed very powerful arms from unloading cement from the","English","truck",14,18,0.777777777777778
