Group,number,inner_number,item,itemtype,Sentence_length,Sentence_words,Best_completion,Frequency,Length,Unexpected_word,Frequency,Length
A,292,filler4,"Jeden Tag, egal ob Regen oder Sonnenschein, liefen die Jogger den Weg durch den",German,76,14,,,0,,,0
A,293,filler5,Wegen seiner erhöhten Bildschirmzeit entzogen seine Eltern ihm das,German,79,14,,,0,,,0
A,294,filler6,Sie installierten eine sehr teure Alarmanlage zum Schutz ihres,German,66,18,,,0,,,0
A,295,filler7,Die Schlösser waren verrostet und er öffnete sie mit einem,German,62,9,,,0,,,0
A,296,filler8,Als Erinnerung an das erste Bad seiner Katze hatte er einen Kratzer am,German,58,8,,,0,,,0
A,298,filler10,Die Lagerarbeiter verstauten viele leere Kisten auf dem,German,56,8,,,0,,,0
A,299,filler11,Sie ließ das kleine Kind alleine im,German,35,7,,,0,,,0
A,300,filler12,"Der Mann, der in die Notaufnahme getragen wurde, hatte eine",German,59,10,,,0,,,0
A,301,filler13,"Da ich verhindert war, gab die Anwältin meinem Sekretär die",German,59,10,,,0,,,0
A,302,filler14,Nach einem langen Arbeitstag legte sie sich aufs,German,48,8,,,0,,,0
A,303,filler15,"Das Letzte, was sie sich an ihrem Hochzeitstag gewünscht hatten, war ein",German,72,12,,,0,,,0
A,304,filler16,"Der Lastwagen, den David fuhr, krachte gegen die",German,49,8,,,0,,,0
A,305,filler17,Auf dem Sportplatz neben dem Strand sah sie einen Mann mit einem,German,64,12,,,0,,,0
A,306,filler18,"Nachdem sie in Rente gegangen war, reiste Yoko nach Europa mit ihrer ",German,69,13,,,0,,,0
A,307,filler19,"Als er ein Kind war, sammelte er gerne",German,38,8,,,0,,,0
A,308,filler20,"Da das Wasser auf der Insel unsicher war und sie Angst hatten, Krankheiten zu bekommen, tranken sie nur",German,103,18,,,0,,,0
A,309,filler21,"Nachdem sie den ganzen Nachmittag draußen gespielt hatte, wischte sie sich den Schweiß von der",German,94,15,,,0,,,0
A,310,filler22,Nach wochenlangem Aufschieben machte ich endlich einen Termin beim,German,66,9,,,0,,,0
A,311,filler23,Sie kaufte mehrere bunte Postkarten und schickte sie an ihre,German,75,#REF!,,,0,,,0
A,312,filler24,Sie trug dicke Wollsocken und ihre festesten Stiefel und wanderte in den,German,60,13,,,0,,,0
A,313,filler25,Sie standen auf der Brücke und fütterten die,German,72,8,,,0,,,0
B,314,filler1,Die Behörden evakuierten alle aus dem Gebiet nach den,German,53,9,,,0,,,0
B,315,filler2,Der Techniker braucht morgens vor Schichtbeginn erstmal einen,German,61,8,,,0,,,0
B,316,filler3,Liz und Marie saßen am Schreibtisch und besprachen das Thema für das nächste,German,44,9,,,0,,,0
B,317,filler4,"Jeden Tag, egal ob Regen oder Sonnenschein, liefen die Jogger den Weg durch den",German,76,10,,,0,,,0
B,318,filler5,Wegen seiner erhöhten Bildschirmzeit entzogen seine Eltern ihm das,German,79,12,,,0,,,0
B,319,filler6,Sie installierten eine sehr teure Alarmanlage zum Schutz ihres,German,66,8,,,0,,,0
B,320,filler7,Die Schlösser waren verrostet und er öffnete sie mit einem,German,62,9,,,0,,,0
B,321,filler8,Als Erinnerung an das erste Bad seiner Katze hatte er einen Kratzer am,German,58,8,,,0,,,0
B,323,filler10,Die Lagerarbeiter verstauten viele leere Kisten auf dem,German,56,8,,,0,,,0
B,324,filler11,Sie ließ das kleine Kind alleine im,German,35,7,,,0,,,0
B,325,filler12,"Der Mann, der in die Notaufnahme getragen wurde, hatte eine",German,59,10,,,0,,,0
B,326,filler13,"Da ich verhindert war, gab die Anwältin meinem Sekretär die",German,59,10,,,0,,,0
B,327,filler14,Nach einem langen Arbeitstag legte sie sich aufs,German,48,8,,,0,,,0
B,328,filler15,"Das Letzte, was sie sich an ihrem Hochzeitstag gewünscht hatten, war ein",German,72,12,,,0,,,0
B,329,filler16,"Der Lastwagen, den David fuhr, krachte gegen die",German,49,8,,,0,,,0
B,330,filler17,Auf dem Sportplatz neben dem Strand sah sie einen Mann mit einem,German,64,12,,,0,,,0
B,331,filler18,"Nachdem sie in Rente gegangen war, reiste Yoko nach Europa mit ihrer ",German,69,13,,,0,,,0
B,332,filler19,"Als er ein Kind war, sammelte er gerne",German,38,8,,,0,,,0
B,333,filler20,"Da das Wasser auf der Insel unsicher war und sie Angst hatten, Krankheiten zu bekommen, tranken sie nur",German,103,18,,,0,,,0
B,334,filler21,"Nachdem sie den ganzen Nachmittag draußen gespielt hatte, wischte sie sich den Schweiß von der",German,94,15,,,0,,,0
B,335,filler22,Nach wochenlangem Aufschieben machte ich endlich einen Termin beim,German,66,9,,,0,,,0
B,336,filler23,Sie kaufte mehrere bunte Postkarten und schickte sie an ihre,German,75,#REF!,,,0,,,0
B,337,filler24,Sie trug dicke Wollsocken und ihre festesten Stiefel und wanderte in den,German,60,13,,,0,,,0
B,338,filler25,Sie standen auf der Brücke und fütterten die,German,72,8,,,0,,,0
C,339,filler1,Die Behörden evakuierten alle aus dem Gebiet nach den,German,53,9,,,0,,,0
C,340,filler2,Der Techniker braucht morgens vor Schichtbeginn erstmal einen,German,61,8,,,0,,,0
C,341,filler3,Liz und Marie saßen am Schreibtisch und besprachen das Thema für das nächste,German,44,9,,,0,,,0
C,342,filler4,"Jeden Tag, egal ob Regen oder Sonnenschein, liefen die Jogger den Weg durch den",German,76,10,,,0,,,0
C,343,filler5,Wegen seiner erhöhten Bildschirmzeit entzogen seine Eltern ihm das,German,79,12,,,0,,,0
C,344,filler6,Sie installierten eine sehr teure Alarmanlage zum Schutz ihres,German,66,8,,,0,,,0
C,345,filler7,Die Schlösser waren verrostet und er öffnete sie mit einem,German,62,9,,,0,,,0
C,346,filler8,Als Erinnerung an das erste Bad seiner Katze hatte er einen Kratzer am,German,58,8,,,0,,,0
C,348,filler10,Die Lagerarbeiter verstauten viele leere Kisten auf dem,German,56,8,,,0,,,0
C,349,filler11,Sie ließ das kleine Kind alleine im,German,35,7,,,0,,,0
C,350,filler12,"Der Mann, der in die Notaufnahme getragen wurde, hatte eine",German,59,10,,,0,,,0
C,351,filler13,"Da ich verhindert war, gab die Anwältin meinem Sekretär die",German,59,10,,,0,,,0
C,352,filler14,Nach einem langen Arbeitstag legte sie sich aufs,German,48,8,,,0,,,0
C,353,filler15,"Das Letzte, was sie sich an ihrem Hochzeitstag gewünscht hatten, war ein",German,72,12,,,0,,,0
C,354,filler16,"Der Lastwagen, den David fuhr, krachte gegen die",German,49,8,,,0,,,0
C,355,filler17,Auf dem Sportplatz neben dem Strand sah sie einen Mann mit einem,German,64,12,,,0,,,0
C,356,filler18,"Nachdem sie in Rente gegangen war, reiste Yoko nach Europa mit ihrer ",German,69,13,,,0,,,0
C,357,filler19,"Als er ein Kind war, sammelte er gerne",German,38,8,,,0,,,0
C,358,filler20,"Da das Wasser auf der Insel unsicher war und sie Angst hatten, Krankheiten zu bekommen, tranken sie nur",German,103,18,,,0,,,0
C,359,filler21,"Nachdem sie den ganzen Nachmittag draußen gespielt hatte, wischte sie sich den Schweiß von der",German,94,15,,,0,,,0
C,360,filler22,Nach wochenlangem Aufschieben machte ich endlich einen Termin beim,German,66,9,,,0,,,0
C,361,filler23,Sie kaufte mehrere bunte Postkarten und schickte sie an ihre,German,75,#REF!,,,0,,,0
C,362,filler24,Sie trug dicke Wollsocken und ihre festesten Stiefel und wanderte in den,German,60,13,,,0,,,0
C,363,filler25,Sie standen auf der Brücke und fütterten die,German,72,8,,,0,,,0
D,364,filler1,Die Behörden evakuierten alle aus dem Gebiet nach den,German,53,9,,,0,,,0
D,365,filler2,Der Techniker braucht morgens vor Schichtbeginn erstmal einen,German,61,8,,,0,,,0
D,366,filler3,Liz und Marie saßen am Schreibtisch und besprachen das Thema für das nächste,German,44,9,,,0,,,0
D,367,filler4,"Jeden Tag, egal ob Regen oder Sonnenschein, liefen die Jogger den Weg durch den",German,76,10,,,0,,,0
D,368,filler5,Wegen seiner erhöhten Bildschirmzeit entzogen seine Eltern ihm das,German,79,12,,,0,,,0
D,369,filler6,Sie installierten eine sehr teure Alarmanlage zum Schutz ihres,German,66,8,,,0,,,0
D,370,filler7,Die Schlösser waren verrostet und er öffnete sie mit einem,German,62,9,,,0,,,0
D,371,filler8,Als Erinnerung an das erste Bad seiner Katze hatte er einen Kratzer am,German,58,8,,,0,,,0
D,373,filler10,Die Lagerarbeiter verstauten viele leere Kisten auf dem,German,56,8,,,0,,,0
D,374,filler11,Sie ließ das kleine Kind alleine im,German,35,7,,,0,,,0
D,375,filler12,"Der Mann, der in die Notaufnahme getragen wurde, hatte eine",German,59,10,,,0,,,0
D,376,filler13,"Da ich verhindert war, gab die Anwältin meinem Sekretär die",German,59,10,,,0,,,0
D,377,filler14,Nach einem langen Arbeitstag legte sie sich aufs,German,48,8,,,0,,,0
D,378,filler15,"Das Letzte, was sie sich an ihrem Hochzeitstag gewünscht hatten, war ein",German,72,12,,,0,,,0
D,379,filler16,"Der Lastwagen, den David fuhr, krachte gegen die",German,49,8,,,0,,,0
D,380,filler17,Auf dem Sportplatz neben dem Strand sah sie einen Mann mit einem,German,64,12,,,0,,,0
D,381,filler18,"Nachdem sie in Rente gegangen war, reiste Yoko nach Europa mit ihrer ",German,69,13,,,0,,,0
D,382,filler19,"Als er ein Kind war, sammelte er gerne",German,38,8,,,0,,,0
D,383,filler20,"Da das Wasser auf der Insel unsicher war und sie Angst hatten, Krankheiten zu bekommen, tranken sie nur",German,103,18,,,0,,,0
D,384,filler21,"Nachdem sie den ganzen Nachmittag draußen gespielt hatte, wischte sie sich den Schweiß von der",German,94,15,,,0,,,0
D,385,filler22,Nach wochenlangem Aufschieben machte ich endlich einen Termin beim,German,66,9,,,0,,,0
D,386,filler23,Sie kaufte mehrere bunte Postkarten und schickte sie an ihre,German,75,#REF!,,,0,,,0
D,387,filler24,Sie trug dicke Wollsocken und ihre festesten Stiefel und wanderte in den,German,60,13,,,0,,,0
D,388,filler25,Sie standen auf der Brücke und fütterten die,German,72,8,,,0,,,0
E,389,filler1,Die Behörden evakuierten alle aus dem Gebiet nach den,German,53,9,,,0,,,0
E,390,filler2,Der Techniker braucht morgens vor Schichtbeginn erstmal einen,German,61,8,,,0,,,0
E,391,filler3,Liz und Marie saßen am Schreibtisch und besprachen das Thema für das nächste,German,44,9,,,0,,,0
E,392,filler4,"Jeden Tag, egal ob Regen oder Sonnenschein, liefen die Jogger den Weg durch den",German,76,10,,,0,,,0
E,393,filler5,Wegen seiner erhöhten Bildschirmzeit entzogen seine Eltern ihm das,German,79,12,,,0,,,0
E,394,filler6,Sie installierten eine sehr teure Alarmanlage zum Schutz ihres,German,66,8,,,0,,,0
E,395,filler7,Die Schlösser waren verrostet und er öffnete sie mit einem,German,62,9,,,0,,,0
E,396,filler8,Als Erinnerung an das erste Bad seiner Katze hatte er einen Kratzer am,German,58,8,,,0,,,0
E,398,filler10,Die Lagerarbeiter verstauten viele leere Kisten auf dem,German,56,8,,,0,,,0
E,399,filler11,Sie ließ das kleine Kind alleine im,German,35,7,,,0,,,0
E,400,filler12,"Der Mann, der in die Notaufnahme getragen wurde, hatte eine",German,59,10,,,0,,,0
E,401,filler13,"Da ich verhindert war, gab die Anwältin meinem Sekretär die",German,59,10,,,0,,,0
E,402,filler14,Nach einem langen Arbeitstag legte sie sich aufs,German,48,8,,,0,,,0
E,403,filler15,"Das Letzte, was sie sich an ihrem Hochzeitstag gewünscht hatten, war ein",German,72,12,,,0,,,0
E,404,filler16,"Der Lastwagen, den David fuhr, krachte gegen die",German,49,8,,,0,,,0
E,405,filler17,Auf dem Sportplatz neben dem Strand sah sie einen Mann mit einem,German,64,12,,,0,,,0
E,406,filler18,"Nachdem sie in Rente gegangen war, reiste Yoko nach Europa mit ihrer ",German,69,13,,,0,,,0
E,407,filler19,"Als er ein Kind war, sammelte er gerne",German,38,8,,,0,,,0
E,408,filler20,"Da das Wasser auf der Insel unsicher war und sie Angst hatten, Krankheiten zu bekommen, tranken sie nur",German,103,18,,,0,,,0
E,409,filler21,"Nachdem sie den ganzen Nachmittag draußen gespielt hatte, wischte sie sich den Schweiß von der",German,94,15,,,0,,,0
E,410,filler22,Nach wochenlangem Aufschieben machte ich endlich einen Termin beim,German,66,9,,,0,,,0
E,411,filler23,Sie kaufte mehrere bunte Postkarten und schickte sie an ihre,German,75,#REF!,,,0,,,0
E,412,filler24,Sie trug dicke Wollsocken und ihre festesten Stiefel und wanderte in den,German,60,13,,,0,,,0
E,413,filler25,Sie standen auf der Brücke und fütterten die,German,72,8,,,0,,,0
F,414,filler1,Die Behörden evakuierten alle aus dem Gebiet nach den,German,53,9,,,0,,,0
F,415,filler2,Der Techniker braucht morgens vor Schichtbeginn erstmal einen,German,61,8,,,0,,,0
F,416,filler3,Liz und Marie saßen am Schreibtisch und besprachen das Thema für das nächste,German,44,9,,,0,,,0
F,417,filler4,"Jeden Tag, egal ob Regen oder Sonnenschein, liefen die Jogger den Weg durch den",German,76,10,,,0,,,0
F,418,filler5,Wegen seiner erhöhten Bildschirmzeit entzogen seine Eltern ihm das,German,79,12,,,0,,,0
F,419,filler6,Sie installierten eine sehr teure Alarmanlage zum Schutz ihres,German,66,8,,,0,,,0
F,420,filler7,Die Schlösser waren verrostet und er öffnete sie mit einem,German,62,9,,,0,,,0
F,421,filler8,Als Erinnerung an das erste Bad seiner Katze hatte er einen Kratzer am,German,58,8,,,0,,,0
F,423,filler10,Die Lagerarbeiter verstauten viele leere Kisten auf dem,German,56,8,,,0,,,0
F,424,filler11,Sie ließ das kleine Kind alleine im,German,35,7,,,0,,,0
F,425,filler12,"Der Mann, der in die Notaufnahme getragen wurde, hatte eine",German,59,10,,,0,,,0
F,426,filler13,"Da ich verhindert war, gab die Anwältin meinem Sekretär die",German,59,10,,,0,,,0
F,427,filler14,Nach einem langen Arbeitstag legte sie sich aufs,German,48,8,,,0,,,0
F,428,filler15,"Das Letzte, was sie sich an ihrem Hochzeitstag gewünscht hatten, war ein",German,72,12,,,0,,,0
F,429,filler16,"Der Lastwagen, den David fuhr, krachte gegen die",German,49,8,,,0,,,0
F,430,filler17,Auf dem Sportplatz neben dem Strand sah sie einen Mann mit einem,German,64,12,,,0,,,0
F,431,filler18,"Nachdem sie in Rente gegangen war, reiste Yoko nach Europa mit ihrer ",German,69,13,,,0,,,0
F,432,filler19,"Als er ein Kind war, sammelte er gerne",German,38,8,,,0,,,0
F,433,filler20,"Da das Wasser auf der Insel unsicher war und sie Angst hatten, Krankheiten zu bekommen, tranken sie nur",German,103,18,,,0,,,0
F,434,filler21,Peter painted the walls of the bird exhibit light blue to resemble the,German,94,13,,,0,,,0
F,435,filler22,Nach wochenlangem Aufschieben machte ich endlich einen Termin beim,German,66,9,,,0,,,0
F,436,filler23,Sie kaufte mehrere bunte Postkarten und schickte sie an ihre,German,75,#REF!,,,0,,,0
F,437,filler24,Sie trug dicke Wollsocken und ihre festesten Stiefel und wanderte in den,German,60,13,,,0,,,0
F,438,filler25,Sie standen auf der Brücke und fütterten die,German,72,8,,,0,,,0
A,439,attention1,"Um sicherzugehen, dass Sie aufmerksam sind: Bitte geben Sie im Feld unten das Wort „Eule“ ein.",attention,,,,,,,,
A,440,attention2,"Um sicherzugehen, dass Sie aufmerksam sind: Bitte geben Sie im Feld unten das Wort „Huhn“ ein.",attention,,,,,,,,
A,441,attention3,"Um sicherzugehen, dass Sie aufmerksam sind: Please type the word ‘dog’ in the box below.",attention,,,,,,,,
A,442,attention4,"Um sicherzugehen, dass Sie aufmerksam sind: Please type the word ‘cat’ in the box below.",attention,,,,,,,,
A,443,attention5,To make sure you’re paying attention: Please type the word ‘frog’ in the box below.,attention,,,,,,,,
A,444,attention6,To make sure you’re paying attention: Please type the word ‘ant’ in the box below.,attention,,,,,,,,
B,445,attention1,"Um sicherzugehen, dass Sie aufmerksam sind: Bitte geben Sie im Feld unten das Wort „Eule“ ein.",attention,,,,,,,,
B,446,attention2,"Um sicherzugehen, dass Sie aufmerksam sind: Bitte geben Sie im Feld unten das Wort „Huhn“ ein.",attention,,,,,,,,
B,447,attention3,"Um sicherzugehen, dass Sie aufmerksam sind: Please type the word ‘dog’ in the box below.",attention,,,,,,,,
B,448,attention4,"Um sicherzugehen, dass Sie aufmerksam sind: Please type the word ‘cat’ in the box below.",attention,,,,,,,,
B,449,attention5,To make sure you’re paying attention: Please type the word ‘frog’ in the box below.,attention,,,,,,,,
B,450,attention6,To make sure you’re paying attention: Please type the word ‘ant’ in the box below.,attention,,,,,,,,
C,451,attention1,"Um sicherzugehen, dass Sie aufmerksam sind: Bitte geben Sie im Feld unten das Wort „Eule“ ein.",attention,,,,,,,,
C,452,attention2,"Um sicherzugehen, dass Sie aufmerksam sind: Bitte geben Sie im Feld unten das Wort „Huhn“ ein.",attention,,,,,,,,
C,453,attention3,"Um sicherzugehen, dass Sie aufmerksam sind: Please type the word ‘dog’ in the box below.",attention,,,,,,,,
C,454,attention4,"Um sicherzugehen, dass Sie aufmerksam sind: Please type the word ‘cat’ in the box below.",attention,,,,,,,,
C,455,attention5,To make sure you’re paying attention: Please type the word ‘frog’ in the box below.,attention,,,,,,,,
C,456,attention6,To make sure you’re paying attention: Please type the word ‘ant’ in the box below.,attention,,,,,,,,
D,457,attention1,"Um sicherzugehen, dass Sie aufmerksam sind: Bitte geben Sie im Feld unten das Wort „Eule“ ein.",attention,,,,,,,,
D,458,attention2,"Um sicherzugehen, dass Sie aufmerksam sind: Bitte geben Sie im Feld unten das Wort „Huhn“ ein.",attention,,,,,,,,
D,459,attention3,"Um sicherzugehen, dass Sie aufmerksam sind: Please type the word ‘dog’ in the box below.",attention,,,,,,,,
D,460,attention4,"Um sicherzugehen, dass Sie aufmerksam sind: Please type the word ‘cat’ in the box below.",attention,,,,,,,,
D,461,attention5,To make sure you’re paying attention: Please type the word ‘frog’ in the box below.,attention,,,,,,,,
D,462,attention6,To make sure you’re paying attention: Please type the word ‘ant’ in the box below.,attention,,,,,,,,
E,463,attention1,"Um sicherzugehen, dass Sie aufmerksam sind: Bitte geben Sie im Feld unten das Wort „Eule“ ein.",attention,,,,,,,,
E,464,attention2,"Um sicherzugehen, dass Sie aufmerksam sind: Bitte geben Sie im Feld unten das Wort „Huhn“ ein.",attention,,,,,,,,
E,465,attention3,"Um sicherzugehen, dass Sie aufmerksam sind: Please type the word ‘dog’ in the box below.",attention,,,,,,,,
E,466,attention4,"Um sicherzugehen, dass Sie aufmerksam sind: Please type the word ‘cat’ in the box below.",attention,,,,,,,,
E,467,attention5,To make sure you’re paying attention: Please type the word ‘frog’ in the box below.,attention,,,,,,,,
E,468,attention6,To make sure you’re paying attention: Please type the word ‘ant’ in the box below.,attention,,,,,,,,
F,469,attention1,"Um sicherzugehen, dass Sie aufmerksam sind: Bitte geben Sie im Feld unten das Wort „Eule“ ein.",attention,,,,,,,,
F,470,attention2,"Um sicherzugehen, dass Sie aufmerksam sind: Bitte geben Sie im Feld unten das Wort „Huhn“ ein.",attention,,,,,,,,
F,471,attention3,"Um sicherzugehen, dass Sie aufmerksam sind: Please type the word ‘dog’ in the box below.",attention,,,,,,,,
F,472,attention4,"Um sicherzugehen, dass Sie aufmerksam sind: Please type the word ‘cat’ in the box below.",attention,,,,,,,,
F,473,attention5,To make sure you’re paying attention: Please type the word ‘frog’ in the box below.,attention,,,,,,,,
F,474,attention6,To make sure you’re paying attention: Please type the word ‘ant’ in the box below.,attention,,,,,,,,
