participant,InnerNumber,Item,Itemtype,n,total,cloze_clean,cloze_probability
mistral,13,El novio tomó la mano de la novia y le colocó the ring on her,CS,18,18,finger,1
claude,13,The groom took the bride's hand and placed the ring on her,E,19,19,finger,1
gpt,13,The groom took the bride's hand and placed the ring on her,E,18,18,finger,1
mistral,13,The groom took the bride's hand and placed the ring on her,E,19,19,finger,1
claude,14,El pequeño cachorro creció to be a huge,CS,20,20,dog,1
gpt,14,El pequeño cachorro creció to be a huge,CS,17,17,dog,1
mistral,14,El pequeño cachorro creció to be a huge,CS,20,20,dog,1
claude,14,The little puppy grew up to be a huge,E,17,17,dog,1
gpt,14,The little puppy grew up to be a huge,E,16,16,dog,1
mistral,14,The little puppy grew up to be a huge,E,17,17,dog,1
claude,15,Father carved the turkey with a,E,17,17,knife,1
gpt,15,Father carved the turkey with a,E,15,15,knife,1
mistral,15,Father carved the turkey with a,E,17,17,knife,1
claude,15,Papá trinchó el turkey with a,CS,20,20,knife,1
gpt,15,Papá trinchó el turkey with a,CS,12,19,fork,0.631578947368421
mistral,15,Papá trinchó el turkey with a,CS,20,20,knife,1
claude,16,After the meeting I added my name to the,E,17,17,list,1
gpt,16,After the meeting I added my name to the,E,16,16,list,1
mistral,16,After the meeting I added my name to the,E,17,17,list,1
claude,16,"Después de la reunión, agregué mi name to the",CS,20,20,list,1
gpt,16,"Después de la reunión, agregué mi name to the",CS,19,20,list,0.95
mistral,16,"Después de la reunión, agregué mi name to the",CS,12,20,list,0.6
claude,17,"Mike felt sorry, but it was not his",E,17,17,fault,1
gpt,17,"Mike felt sorry, but it was not his",E,15,15,fault,1
mistral,17,"Mike felt sorry, but it was not his",E,17,17,fault,1
claude,17,"Mike sintió pena, pero it was not his",CS,20,20,fault,1
gpt,17,"Mike sintió pena, pero it was not his",CS,17,17,fault,1
mistral,17,"Mike sintió pena, pero it was not his",CS,20,20,fault,1
claude,18,He tried to put the pieces of the broken plate back together with,E,18,18,glue,1
gpt,18,He tried to put the pieces of the broken plate back together with,E,18,18,glue,1
mistral,18,He tried to put the pieces of the broken plate back together with,E,18,18,glue,1
claude,18,Intentó volver a juntar los pedazos del broken plate back together with,CS,19,19,glue,1
gpt,18,Intentó volver a juntar los pedazos del broken plate back together with,CS,17,17,glue,1
mistral,18,Intentó volver a juntar los pedazos del broken plate back together with,CS,19,19,glue,1
claude,19,El profesor vio que algunos estudiantes estaban haciendo trampa and wrote down their,CS,17,17,names,1
gpt,19,El profesor vio que algunos estudiantes estaban haciendo trampa and wrote down their,CS,13,13,names,1
mistral,19,El profesor vio que algunos estudiantes estaban haciendo trampa and wrote down their,CS,17,17,names,1
claude,19,The teacher saw that some students were cheating and wrote down their,E,20,20,names,1
gpt,19,The teacher saw that some students were cheating and wrote down their,E,18,18,names,1
mistral,19,The teacher saw that some students were cheating and wrote down their,E,20,20,names,1
claude,20,Maria remembered to shut the front window and lock the back,E,17,17,door,1
gpt,20,Maria remembered to shut the front window and lock the back,E,16,16,door,1
mistral,20,Maria remembered to shut the front window and lock the back,E,17,17,door,1
claude,20,María se acordó de cerrar la ventana delantera y lock the back,CS,20,20,door,1
gpt,20,María se acordó de cerrar la ventana delantera y lock the back,CS,18,18,door,1
mistral,20,María se acordó de cerrar la ventana delantera y lock the back,CS,20,20,door,1
claude,21,No puedes abrir la puerta with the wrong,CS,17,17,key,1
gpt,21,No puedes abrir la puerta with the wrong,CS,17,17,key,1
mistral,21,No puedes abrir la puerta with the wrong,CS,17,17,key,1
claude,21,You can't open the door with the wrong,E,20,20,key,1
gpt,21,You can't open the door with the wrong,E,19,19,key,1
mistral,21,You can't open the door with the wrong,E,20,20,key,1
claude,23,"Cuando se fue la luz, the house became",CS,29,29,dark,1
gpt,23,"Cuando se fue la luz, the house became",CS,23,23,dark,1
mistral,23,"Cuando se fue la luz, the house became",CS,29,29,dark,1
claude,23,When the power went out the house became,E,19,19,dark,1
gpt,23,When the power went out the house became,E,19,19,dark,1
mistral,23,When the power went out the house became,E,19,19,dark,1
claude,24,Alfonso ha empezado a ir en bicicleta al trabajo instead of driving his,CS,17,17,car,1
gpt,24,Alfonso ha empezado a ir en bicicleta al trabajo instead of driving his,CS,15,15,car,1
mistral,24,Alfonso ha empezado a ir en bicicleta al trabajo instead of driving his,CS,17,17,carro,1
claude,24,Alfonso has started biking to work instead of driving his,E,20,20,car,1
gpt,24,Alfonso has started biking to work instead of driving his,E,17,17,car,1
mistral,24,Alfonso has started biking to work instead of driving his,E,20,20,car,1
claude,25,A dog has a good sense of,E,19,19,smell,1
gpt,25,A dog has a good sense of,E,16,16,smell,1
mistral,25,A dog has a good sense of,E,19,19,smell,1
claude,25,Un perro tiene un good sense of,CS,29,29,smell,1
gpt,25,Un perro tiene un good sense of,CS,22,29,direction,0.7586206896551724
mistral,25,Un perro tiene un good sense of,CS,29,29,smell,1
claude,26,La mayoría de la gente pasa el 25 de December with their,CS,18,18,families,1
gpt,26,La mayoría de la gente pasa el 25 de December with their,CS,15,15,family,1
mistral,26,La mayoría de la gente pasa el 25 de December with their,CS,18,18,family,1
claude,26,Most people spend December 25th with their,E,19,19,family,1
gpt,26,Most people spend December 25th with their,E,17,17,family,1
mistral,26,Most people spend December 25th with their,E,19,19,family,1
claude,27,At night the old woman made sure to lock the,E,20,20,door,1
gpt,27,At night the old woman made sure to lock the,E,19,19,door,1
mistral,27,At night the old woman made sure to lock the,E,20,20,door,1
claude,27,En la noche la mujer mayor made sure to lock the,CS,17,17,door,1
gpt,27,En la noche la mujer mayor made sure to lock the,CS,15,15,door,1
mistral,27,En la noche la mujer mayor made sure to lock the,CS,17,17,door,1
claude,28,Ellos vieron el relámpago and heard the,CS,19,19,thunder,1
gpt,28,Ellos vieron el relámpago and heard the,CS,14,16,thunder,0.875
mistral,28,Ellos vieron el relámpago and heard the,CS,19,19,thunder,1
claude,28,They saw the lightning and heard the,E,29,29,thunder,1
gpt,28,They saw the lightning and heard the,E,25,25,thunder,1
mistral,28,They saw the lightning and heard the,E,29,29,thunder,1
claude,29,Ella tuvo que salir del cine cuando the baby started to,CS,17,17,cry,1
gpt,29,Ella tuvo que salir del cine cuando the baby started to,CS,15,15,cry,1
mistral,29,Ella tuvo que salir del cine cuando the baby started to,CS,17,17,cry,1
claude,29,She had to leave the movie when the baby started to,E,20,20,cry,1
gpt,29,She had to leave the movie when the baby started to,E,18,18,cry,1
mistral,29,She had to leave the movie when the baby started to,E,20,20,cry,1
claude,30,"I greeted him, but could not remember his last",E,20,20,name,1
gpt,30,"I greeted him, but could not remember his last",E,17,17,name,1
mistral,30,"I greeted him, but could not remember his last",E,20,20,name,1
claude,30,"Lo saludé, pero no podía remember his last",CS,17,17,name,1
gpt,30,"Lo saludé, pero no podía remember his last",CS,16,16,name,1
mistral,30,"Lo saludé, pero no podía remember his last",CS,17,17,name,1
claude,32,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the",E,20,20,phone,1
gpt,32,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the",E,16,18,phone,0.8888888888888888
mistral,32,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the",E,20,20,phone,1
claude,32,"Aunque lo eschuchó sonar, Nancy estaba demasiado ocupada limpiando the chimney to get the",CS,17,17,phone,1
gpt,32,"Aunque lo eschuchó sonar, Nancy estaba demasiado ocupada limpiando the chimney to get the",CS,9,13,fire,0.6923076923076923
mistral,32,"Aunque lo eschuchó sonar, Nancy estaba demasiado ocupada limpiando the chimney to get the",CS,16,17,message,0.9411764705882353
claude,33,"After the hurricane, the area around the window was filled with broken",E,19,19,glass,1
gpt,33,"After the hurricane, the area around the window was filled with broken",E,17,17,glass,1
mistral,33,"After the hurricane, the area around the window was filled with broken",E,19,19,debris,1
claude,33,"Después del huracán, el área alrededor de la ventana was filled with broken",CS,29,29,glass,1
gpt,33,"Después del huracán, el área alrededor de la ventana was filled with broken",CS,28,28,glass,1
mistral,33,"Después del huracán, el área alrededor de la ventana was filled with broken",CS,29,29,debris,1
claude,35,La disputa fue resuelta by a third,CS,19,19,party,1
gpt,35,La disputa fue resuelta by a third,CS,15,15,party,1
mistral,35,La disputa fue resuelta by a third,CS,11,19,party,0.5789473684210527
claude,35,The dispute was settled by a third,E,18,18,party,1
gpt,35,The dispute was settled by a third,E,18,18,party,1
mistral,35,The dispute was settled by a third,E,18,18,mediator,1
claude,36,Se notaba que había crecido en the South by his,CS,18,18,accent,1
gpt,36,Se notaba que había crecido en the South by his,CS,8,16,family,0.5
mistral,36,Se notaba que había crecido en the South by his,CS,18,18,clothes,1
claude,36,You could tell he had grown up in the South by his,E,19,19,accent,1
gpt,36,You could tell he had grown up in the South by his,E,19,19,accent,1
mistral,36,You could tell he had grown up in the South by his,E,19,19,accent,1
claude,37,Be careful because the top of the stove is very,E,19,19,hot,1
gpt,37,Be careful because the top of the stove is very,E,18,18,hot,1
mistral,37,Be careful because the top of the stove is very,E,19,19,hot,1
claude,37,Ten cuidado porque la parte de arriba del stove is very,CS,29,29,hot,1
gpt,37,Ten cuidado porque la parte de arriba del stove is very,CS,28,28,hot,1
mistral,37,Ten cuidado porque la parte de arriba del stove is very,CS,29,29,hot,1
claude,38,"Cuando te vayas a dormir, turn off the",CS,17,17,lights,1
gpt,38,"Cuando te vayas a dormir, turn off the",CS,16,17,lights,0.9411764705882353
mistral,38,"Cuando te vayas a dormir, turn off the",CS,17,17,light,1
claude,38,When you go to bed turn off the,E,20,20,light,1
gpt,38,When you go to bed turn off the,E,9,17,light,0.5294117647058824
mistral,38,When you go to bed turn off the,E,20,20,light,1
claude,39,"Cuando los dos se encontraron, uno de ellos held out his",CS,19,19,hand,1
gpt,39,"Cuando los dos se encontraron, uno de ellos held out his",CS,16,16,hand,1
mistral,39,"Cuando los dos se encontraron, uno de ellos held out his",CS,19,19,hand,1
claude,39,"When the two met, one of them held out his",E,18,18,hand,1
gpt,39,"When the two met, one of them held out his",E,17,17,hand,1
mistral,39,"When the two met, one of them held out his",E,18,18,hand,1
claude,40,Pablo pintó el traje del payaso de azul y le dio a big red,CS,17,17,nose,1
gpt,40,Pablo pintó el traje del payaso de azul y le dio a big red,CS,12,14,nose,0.8571428571428571
mistral,40,Pablo pintó el traje del payaso de azul y le dio a big red,CS,16,17,nose,0.9411764705882353
claude,40,Paul painted the clown's suit blue and gave him a big red,E,20,20,nose,1
gpt,40,Paul painted the clown's suit blue and gave him a big red,E,20,20,nose,1
mistral,40,Paul painted the clown's suit blue and gave him a big red,E,20,20,nose,1
claude,41,Tom jumped in the lake and made a big,E,19,19,splash,1
gpt,41,Tom jumped in the lake and made a big,E,17,17,splash,1
mistral,41,Tom jumped in the lake and made a big,E,19,19,splash,1
claude,41,Tom saltó en el lago and made a big,CS,29,29,splash,1
gpt,41,Tom saltó en el lago and made a big,CS,27,27,splash,1
mistral,41,Tom saltó en el lago and made a big,CS,29,29,splash,1
claude,42,Josie found she could not bend the elbow of her broken,E,18,18,arm,1
gpt,42,Josie found she could not bend the elbow of her broken,E,16,16,arm,1
mistral,42,Josie found she could not bend the elbow of her broken,E,18,18,arm,1
claude,42,Josie se dio cuenta de que no podía doblar the elbow of her broken,CS,19,19,arm,1
gpt,42,Josie se dio cuenta de que no podía doblar the elbow of her broken,CS,17,17,arm,1
mistral,42,Josie se dio cuenta de que no podía doblar the elbow of her broken,CS,19,19,arm,1
claude,43,His boss refused to give him a,E,20,20,raise,1
gpt,43,His boss refused to give him a,E,17,17,raise,1
mistral,43,His boss refused to give him a,E,20,20,raise,1
claude,43,Su jefe se negó to give him a,CS,17,17,raise,1
gpt,43,Su jefe se negó to give him a,CS,17,17,raise,1
mistral,43,Su jefe se negó to give him a,CS,17,17,raise,1
claude,44,He knew that he could call Chris even if it was the middle of the,E,19,19,night,1
gpt,44,He knew that he could call Chris even if it was the middle of the,E,16,16,night,1
mistral,44,He knew that he could call Chris even if it was the middle of the,E,19,19,night,1
claude,44,Él sabía que podía llamar a Chris incluso in the middle of the,CS,29,29,night,1
gpt,44,Él sabía que podía llamar a Chris incluso in the middle of the,CS,26,27,night,0.9629629629629629
mistral,44,Él sabía que podía llamar a Chris incluso in the middle of the,CS,29,29,night,1
claude,45,Los niños de la escuela went outside to,CS,18,18,play,1
gpt,45,Los niños de la escuela went outside to,CS,18,18,play,1
mistral,45,Los niños de la escuela went outside to,CS,18,18,play,1
claude,45,The school children went outside to,E,19,19,play,1
gpt,45,The school children went outside to,E,17,17,play,1
mistral,45,The school children went outside to,E,19,19,play,1
claude,46,Joan fed her baby some warm,E,18,18,milk,1
gpt,46,Joan fed her baby some warm,E,17,17,milk,1
mistral,46,Joan fed her baby some warm,E,18,18,milk,1
claude,46,Joan le dio de comer a su baby some warm,CS,19,19,milk,1
gpt,46,Joan le dio de comer a su baby some warm,CS,18,19,milk,0.9473684210526315
mistral,46,Joan le dio de comer a su baby some warm,CS,19,19,milk,1
claude,47,Las escuelas se cerraron porque the teachers decided to go on,CS,19,19,strike,1
gpt,47,Las escuelas se cerraron porque the teachers decided to go on,CS,18,18,strike,1
mistral,47,Las escuelas se cerraron porque the teachers decided to go on,CS,19,19,strike,1
claude,47,The schools closed down because the teachers decided to go on,E,18,18,strike,1
gpt,47,The schools closed down because the teachers decided to go on,E,17,17,strike,1
mistral,47,The schools closed down because the teachers decided to go on,E,18,18,strike,1
claude,48,"Dentro de minutos de llegar al trabajo, el ejecutivo spilled his thermos full of",CS,19,19,coffee,1
gpt,48,"Dentro de minutos de llegar al trabajo, el ejecutivo spilled his thermos full of",CS,18,18,coffee,1
mistral,48,"Dentro de minutos de llegar al trabajo, el ejecutivo spilled his thermos full of",CS,19,19,coffee,1
claude,48,"Within minutes of arriving at the office, the executive spilled his thermos full of",E,29,29,coffee,1
gpt,48,"Within minutes of arriving at the office, the executive spilled his thermos full of",E,28,28,coffee,1
mistral,48,"Within minutes of arriving at the office, the executive spilled his thermos full of",E,29,29,coffee,1
claude,49,Mi compañero de cuarto de Miami dejó the dirty dishes in the,CS,20,20,sink,1
gpt,49,Mi compañero de cuarto de Miami dejó the dirty dishes in the,CS,10,18,kitchen,0.5555555555555556
mistral,49,Mi compañero de cuarto de Miami dejó the dirty dishes in the,CS,20,20,sink,1
claude,49,My roommate from Miami left the dirty dishes in the,E,17,17,sink,1
gpt,49,My roommate from Miami left the dirty dishes in the,E,17,17,sink,1
mistral,49,My roommate from Miami left the dirty dishes in the,E,17,17,sink,1
claude,50,Le descontaron una hora de pago for coming to work,CS,19,19,late,1
gpt,50,Le descontaron una hora de pago for coming to work,CS,19,19,late,1
mistral,50,Le descontaron una hora de pago for coming to work,CS,19,19,late,1
claude,50,She was docked one hour's pay for coming to work,E,18,18,late,1
gpt,50,She was docked one hour's pay for coming to work,E,18,18,late,1
mistral,50,She was docked one hour's pay for coming to work,E,18,18,late,1
claude,51,Ricardo estaba asustado de caminar cerca a la orilla del precipicio porque he was afraid he would,CS,19,19,fall,1
gpt,51,Ricardo estaba asustado de caminar cerca a la orilla del precipicio porque he was afraid he would,CS,18,18,fall,1
mistral,51,Ricardo estaba asustado de caminar cerca a la orilla del precipicio porque he was afraid he would,CS,18,19,fall,0.9473684210526315
claude,51,Richard was afraid to walk near the edge of the cliff because he was afraid he would,E,29,29,fall,1
gpt,51,Richard was afraid to walk near the edge of the cliff because he was afraid he would,E,26,26,fall,1
mistral,51,Richard was afraid to walk near the edge of the cliff because he was afraid he would,E,29,29,fall,1
claude,52,Nicole could not read very well without her thick,E,18,18,glasses,1
gpt,52,Nicole could not read very well without her thick,E,15,15,glasses,1
mistral,52,Nicole could not read very well without her thick,E,18,18,glasses,1
claude,52,Nicole no leía muy bien without her thick,CS,19,19,glasses,1
gpt,52,Nicole no leía muy bien without her thick,CS,16,16,glasses,1
mistral,52,Nicole no leía muy bien without her thick,CS,19,19,glasses,1
claude,53,La mayoría de los ataques de tiburones suceden very close to,CS,17,17,shore,1
gpt,53,La mayoría de los ataques de tiburones suceden very close to,CS,10,15,shore,0.6666666666666666
mistral,53,La mayoría de los ataques de tiburones suceden very close to,CS,17,17,coast,1
claude,53,Most shark attacks occur very close to,E,20,20,shore,1
gpt,53,Most shark attacks occur very close to,E,19,19,shore,1
mistral,53,Most shark attacks occur very close to,E,14,20,beaches,0.7
claude,55,Ninguno de sus books made any,CS,19,19,sense,1
gpt,55,Ninguno de sus books made any,CS,18,18,sense,1
mistral,55,Ninguno de sus books made any,CS,19,19,sense,1
claude,55,None of his books made any,E,29,29,sense,1
gpt,55,None of his books made any,E,28,28,sense,1
mistral,55,None of his books made any,E,29,29,money,1
claude,56,He mailed the letter without a,E,29,29,stamp,1
gpt,56,He mailed the letter without a,E,28,28,stamp,1
mistral,56,He mailed the letter without a,E,29,29,stamp,1
claude,56,Él envió un letter without a,CS,19,19,stamp,1
gpt,56,Él envió un letter without a,CS,9,16,signature,0.5625
mistral,56,Él envió un letter without a,CS,19,19,address,1
claude,57,Las vacas se movieron del sun into the,CS,17,17,shade,1
gpt,57,Las vacas se movieron del sun into the,CS,11,16,field,0.6875
mistral,57,Las vacas se movieron del sun into the,CS,15,17,moon,0.8823529411764706
claude,57,The cows moved from the sun into the,E,20,20,shade,1
gpt,57,The cows moved from the sun into the,E,20,20,shade,1
mistral,57,The cows moved from the sun into the,E,13,20,shadows,0.65
claude,58,William played his stereo much too,E,29,29,loud,1
gpt,58,William played his stereo much too,E,26,28,loudly,0.9285714285714286
mistral,58,William played his stereo much too,E,29,29,loud,1
claude,58,William tocó su stereo much too,CS,11,19,loudly,0.5789473684210527
gpt,58,William tocó su stereo much too,CS,17,18,loud,0.9444444444444444
mistral,58,William tocó su stereo much too,CS,19,19,loud,1
claude,60,El surfista fue empujado de su tabla de surfear by the first,CS,19,19,wave,1
gpt,60,El surfista fue empujado de su tabla de surfear by the first,CS,15,15,wave,1
mistral,60,El surfista fue empujado de su tabla de surfear by the first,CS,19,19,wave,1
claude,60,The surfer was knocked off his surfboard by the first,E,18,18,wave,1
gpt,60,The surfer was knocked off his surfboard by the first,E,18,18,wave,1
mistral,60,The surfer was knocked off his surfboard by the first,E,18,18,wave,1
claude,61,Tim threw a rock and broke the,E,17,17,window,1
gpt,61,Tim threw a rock and broke the,E,15,15,window,1
mistral,61,Tim threw a rock and broke the,E,17,17,window,1
claude,61,Tim tiró una piedra and broke the,CS,20,20,window,1
gpt,61,Tim tiró una piedra and broke the,CS,20,20,window,1
mistral,61,Tim tiró una piedra and broke the,CS,20,20,window,1
claude,62,Ricardo spilled coffee all over his clean white,E,20,20,shirt,1
gpt,62,Ricardo spilled coffee all over his clean white,E,18,18,shirt,1
mistral,62,Ricardo spilled coffee all over his clean white,E,20,20,shirt,1
claude,62,Ricardo tiró el café all over his clean white,CS,17,17,shirt,1
gpt,62,Ricardo tiró el café all over his clean white,CS,16,16,shirt,1
mistral,62,Ricardo tiró el café all over his clean white,CS,17,17,shirt,1
claude,63,He decided to travel in Iran even though he knew it could be,E,29,29,dangerous,1
gpt,63,He decided to travel in Iran even though he knew it could be,E,27,27,dangerous,1
mistral,63,He decided to travel in Iran even though he knew it could be,E,29,29,dangerous,1
claude,63,Él decidió ir a Irán a pesar de que he knew it could be,CS,19,19,dangerous,1
gpt,63,Él decidió ir a Irán a pesar de que he knew it could be,CS,17,17,dangerous,1
mistral,63,Él decidió ir a Irán a pesar de que he knew it could be,CS,19,19,dangerous,1
claude,64,Cold damp weather makes her joints ache so she's been taking a lot of aspirin for the,E,19,19,pain,1
gpt,64,Cold damp weather makes her joints ache so she's been taking a lot of aspirin for the,E,14,17,relief,0.8235294117647058
mistral,64,Cold damp weather makes her joints ache so she's been taking a lot of aspirin for the,E,19,19,pain,1
claude,64,"El clima frío y húmedo le hace doler las articulaciones, así que ha estado tomando a lot of aspirin for the",CS,18,18,pain,1
gpt,64,"El clima frío y húmedo le hace doler las articulaciones, así que ha estado tomando a lot of aspirin for the",CS,16,16,pain,1
mistral,64,"El clima frío y húmedo le hace doler las articulaciones, así que ha estado tomando a lot of aspirin for the",CS,18,18,pain,1
claude,65,Antes que ella llegara él abrió una botella de vino y put on some soft,CS,29,29,music,1
gpt,65,Antes que ella llegara él abrió una botella de vino y put on some soft,CS,27,27,music,1
mistral,65,Antes que ella llegara él abrió una botella de vino y put on some soft,CS,29,29,music,1
claude,65,Before she arrived he opened a bottle of wine and put on some soft,E,19,19,music,1
gpt,65,Before she arrived he opened a bottle of wine and put on some soft,E,16,16,music,1
mistral,65,Before she arrived he opened a bottle of wine and put on some soft,E,19,19,music,1
claude,66,El barco desapareció into the thick,CS,19,19,fog,1
gpt,66,El barco desapareció into the thick,CS,19,19,fog,1
mistral,66,El barco desapareció into the thick,CS,19,19,mist,1
claude,66,The ship disappeared into the thick,E,29,29,fog,1
gpt,66,The ship disappeared into the thick,E,25,25,fog,1
mistral,66,The ship disappeared into the thick,E,29,29,mist,1
claude,67,Ron bought a board for the window that was too long and then he bought one that was too,E,29,29,short,1
gpt,67,Ron bought a board for the window that was too long and then he bought one that was too,E,23,23,short,1
mistral,67,Ron bought a board for the window that was too long and then he bought one that was too,E,29,29,short,1
claude,67,Ron compró una tabla para la ventana que era demasiada larga y luego compró otra that was too,CS,19,19,short,1
gpt,67,Ron compró una tabla para la ventana que era demasiada larga y luego compró otra that was too,CS,13,19,short,0.6842105263157895
mistral,67,Ron compró una tabla para la ventana que era demasiada larga y luego compró otra that was too,CS,19,19,short,1
claude,68,"A medida que el clima se volvió más cálido, Mark comenzó a usar su chaqueta más liviana en lugar de his heavy winter",CS,19,19,coat,1
gpt,68,"A medida que el clima se volvió más cálido, Mark comenzó a usar su chaqueta más liviana en lugar de his heavy winter",CS,18,18,coat,1
mistral,68,"A medida que el clima se volvió más cálido, Mark comenzó a usar su chaqueta más liviana en lugar de his heavy winter",CS,12,19,light,0.631578947368421
claude,68,"As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter",E,29,29,coat,1
gpt,68,"As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter",E,26,26,coat,1
mistral,68,"As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter",E,29,29,coat,1
claude,70,Jorge debe mantener su pet on a,CS,17,17,leash,1
gpt,70,Jorge debe mantener su pet on a,CS,16,17,leash,0.9411764705882353
mistral,70,Jorge debe mantener su pet on a,CS,17,17,leash,1
claude,70,Jorge must keep his pet on a,E,20,20,leash,1
gpt,70,Jorge must keep his pet on a,E,18,18,leash,1
mistral,70,Jorge must keep his pet on a,E,20,20,leash,1
claude,71,A Raquel le encanta el olor del tabaco pero she can't stand all the,CS,29,29,smoke,1
gpt,71,A Raquel le encanta el olor del tabaco pero she can't stand all the,CS,28,28,smoke,1
mistral,71,A Raquel le encanta el olor del tabaco pero she can't stand all the,CS,29,29,smoke,1
claude,71,Rachel loves the smell of tobacco but she can't stand all the,E,19,19,smoke,1
gpt,71,Rachel loves the smell of tobacco but she can't stand all the,E,18,18,smoke,1
mistral,71,Rachel loves the smell of tobacco but she can't stand all the,E,19,19,smoke,1
claude,72,He had just enough time to buy a cake from the store and change his clothes before the guests,E,18,18,arrived,1
gpt,72,He had just enough time to buy a cake from the store and change his clothes before the guests,E,10,16,arrived,0.625
mistral,72,He had just enough time to buy a cake from the store and change his clothes before the guests,E,18,18,arrived,1
claude,72,Él tuvo tiempo justo para comprar un pastel en la tienda y cambiarse de ropa before the guests,CS,19,19,arrived,1
gpt,72,Él tuvo tiempo justo para comprar un pastel en la tienda y cambiarse de ropa before the guests,CS,16,17,arrived,0.9411764705882353
mistral,72,Él tuvo tiempo justo para comprar un pastel en la tienda y cambiarse de ropa before the guests,CS,13,19,party,0.6842105263157895
claude,73,La ardilla guardó some nuts in the,CS,18,18,tree,1
gpt,73,La ardilla guardó some nuts in the,CS,14,16,tree,0.875
mistral,73,La ardilla guardó some nuts in the,CS,18,18,tree,1
claude,73,The squirrel stored some nuts in the,E,19,19,tree,1
gpt,73,The squirrel stored some nuts in the,E,16,16,tree,1
mistral,73,The squirrel stored some nuts in the,E,19,19,tree,1
claude,74,Every morning before school his mother laid out his clothes and packed his,E,19,19,lunch,1
gpt,74,Every morning before school his mother laid out his clothes and packed his,E,16,16,bag,1
mistral,74,Every morning before school his mother laid out his clothes and packed his,E,10,19,lunchbox,0.5263157894736842
claude,74,"Todas las mañanas, antes de ir a la escuela, su madre preparaba su ropa and packed his",CS,29,29,lunch,1
gpt,74,"Todas las mañanas, antes de ir a la escuela, su madre preparaba su ropa and packed his",CS,19,24,bag,0.7916666666666666
mistral,74,"Todas las mañanas, antes de ir a la escuela, su madre preparaba su ropa and packed his",CS,29,29,lunch,1
claude,75,He quit his job and left his family so that he could sail around the,E,29,29,world,1
gpt,75,He quit his job and left his family so that he could sail around the,E,25,25,world,1
mistral,75,He quit his job and left his family so that he could sail around the,E,29,29,world,1
claude,75,Él dejó su trabajo y abandonó a su familia para poder sail around the,CS,19,19,world,1
gpt,75,Él dejó su trabajo y abandonó a su familia para poder sail around the,CS,18,18,world,1
mistral,75,Él dejó su trabajo y abandonó a su familia para poder sail around the,CS,19,19,world,1
claude,76,Don't touch the sticky wet,E,19,19,paint,1
gpt,76,Don't touch the sticky wet,E,12,18,floor,0.6666666666666666
mistral,76,Don't touch the sticky wet,E,19,19,floor,1
claude,76,No toque the sticky wet,CS,29,29,paint,1
gpt,76,No toque the sticky wet,CS,15,27,floor,0.5555555555555556
mistral,76,No toque the sticky wet,CS,29,29,floor,1
claude,77,Cats loved to be scratched gently behind the,E,17,17,ears,1
gpt,77,Cats loved to be scratched gently behind the,E,16,16,ears,1
mistral,77,Cats loved to be scratched gently behind the,E,17,17,ears,1
claude,77,Los gatos aman que los rasquen gently behind the,CS,20,20,ears,1
gpt,77,Los gatos aman que los rasquen gently behind the,CS,13,18,back,0.7222222222222222
mistral,77,Los gatos aman que los rasquen gently behind the,CS,20,20,ears,1
claude,78,La gaviota blanca se sumergió and caught a,CS,19,19,fish,1
gpt,78,La gaviota blanca se sumergió and caught a,CS,17,17,fish,1
mistral,78,La gaviota blanca se sumergió and caught a,CS,19,19,fish,1
claude,78,The white seagull dove down and caught a,E,29,29,fish,1
gpt,78,The white seagull dove down and caught a,E,28,28,fish,1
mistral,78,The white seagull dove down and caught a,E,29,29,fish,1
claude,79,Juan barrió el piso with a big,CS,20,20,broom,1
gpt,79,Juan barrió el piso with a big,CS,20,20,broom,1
mistral,79,Juan barrió el piso with a big,CS,15,20,sweep,0.75
claude,79,Juan swept the floor with a big,E,17,17,broom,1
gpt,79,Juan swept the floor with a big,E,15,15,broom,1
mistral,79,Juan swept the floor with a big,E,11,17,broom,0.6470588235294118
claude,80,He was cold most of the night and finally got up to get another,E,17,17,blanket,1
gpt,80,He was cold most of the night and finally got up to get another,E,16,16,blanket,1
mistral,80,He was cold most of the night and finally got up to get another,E,17,17,blanket,1
claude,80,Él pasó frío casi toda la noche y finalmente se levantó to get another,CS,20,20,blanket,1
gpt,80,Él pasó frío casi toda la noche y finalmente se levantó to get another,CS,14,20,blanket,0.7
mistral,80,Él pasó frío casi toda la noche y finalmente se levantó to get another,CS,20,20,blanket,1
claude,81,"Al principio el chico se negó, pero eventualmente he changed his",CS,18,18,mind,1
gpt,81,"Al principio el chico se negó, pero eventualmente he changed his",CS,17,17,mind,1
mistral,81,"Al principio el chico se negó, pero eventualmente he changed his",CS,18,18,mind,1
claude,81,"At first the boy refused, but eventually he changed his",E,19,19,mind,1
gpt,81,"At first the boy refused, but eventually he changed his",E,18,18,mind,1
mistral,81,"At first the boy refused, but eventually he changed his",E,19,19,mind,1
claude,82,Rafael quiere preservar el bosque nacional by guarding every,CS,18,18,tree,1
gpt,82,Rafael quiere preservar el bosque nacional by guarding every,CS,17,17,tree,1
